Age,CIP2 ID,CIP2,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx,share
35,"30","Interdisciplinary Studies",2018,74105.62899441102,10849.297936586667,1066,23439,3758.4562585601184,0.027794016679493095
35,"30","Interdisciplinary Studies",2019,75293.45229924502,11638.13391991743,1070,23312,3748.2660669099614,0.0267352939827239
35,"30","Interdisciplinary Studies",2020,80875.3723583934,12341.552299000115,1092,24275,3824.890750143296,0.026605392976176253
35,"30","Interdisciplinary Studies",2021,86548.79899127061,12427.194573967656,1157,25775,3941.277159462228,0.027029974695119714
35,"30","Interdisciplinary Studies",2022,96633.10928234758,13713.957436524604,1202,26308,3981.8158473694184,0.026837421820248033
35,"30","Interdisciplinary Studies",2023,101469.81442923704,14635.652384647698,1239,27472,4068.937410000861,0.027311843350592127
36,"30","Interdisciplinary Studies",2014,74793.24561869357,12262.136702905658,823,18830,3368.760439000638,0.025082353505335494
36,"30","Interdisciplinary Studies",2015,76930.44930141771,12501.231012209462,831,19468,3425.3513820656785,0.025169885088381617
36,"30","Interdisciplinary Studies",2016,76176.6562404483,12501.282192229015,873,19630,3439.5754415206857,0.024831379374901964
36,"30","Interdisciplinary Studies",2017,77837.45828086376,12319.603653900629,956,21441,3594.7194137022316,0.02632823043003636
36,"30","Interdisciplinary Studies",2018,77970.332358719,12512.693245718823,989,21889,3632.078469302891,0.02595602334132959
36,"30","Interdisciplinary Studies",2019,83333.3579766537,14037.921974946086,1021,22359,3670.8634244220552,0.025642348925863232
36,"30","Interdisciplinary Studies",2020,83537.9646670056,13219.030219550768,1029,23604,3771.66572965162,0.025869977170326026
36,"30","Interdisciplinary Studies",2021,86395.60469754945,13325.468452860776,1050,24566,3847.747853080311,0.02576210895675309
36,"30","Interdisciplinary Studies",2022,93417.32313598227,14549.010948798705,1096,25268,3902.3316023006446,0.02577649287494402
36,"30","Interdisciplinary Studies",2023,96474.38179833641,14542.920988473159,1162,26569,4001.5178014437474,0.026414107672607826
37,"30","Interdisciplinary Studies",2014,81905.33203070481,12908.08970673147,903,21495,3599.2289758218303,0.028632245809728438
37,"30","Interdisciplinary Studies",2015,78765.63424837831,12380.792717192646,874,21274,3580.6859075162884,0.0275048353898824
37,"30","Interdisciplinary Studies",2016,76116.02644799055,12480.317034304739,864,20304,3498.1180347750387,0.025683969782374402
37,"30","Interdisciplinary Studies",2017,77254.88863743517,12747.538110076459,913,21210,3575.305531193139,0.02604457662520737
37,"30","Interdisciplinary Studies",2018,80270.77308950205,13460.331104691308,943,21709,3617.116015949868,0.025742578953671897
37,"30","Interdisciplinary Studies",2019,83173.87448188863,13426.487320240201,994,22196,3657.460423223323,0.025455412887806266
37,"30","Interdisciplinary Studies",2020,83997.88706930434,13272.8143168043,1004,22899,3714.9218134264574,0.025097297374313494
37,"30","Interdisciplinary Studies",2021,89900.06810168101,14141.427445739411,1071,24390,3833.941963276648,0.02557753958541105
37,"30","Interdisciplinary Studies",2022,93347.5422982885,14117.858826446649,1101,24540,3845.714626146839,0.025033842613231213
37,"30","Interdisciplinary Studies",2023,95129.76735000197,13843.205888908731,1122,25317,3906.115151743688,0.02516940659969936
38,"30","Interdisciplinary Studies",2014,78235.16641281384,12222.021733473379,879,20353,3502.327667236963,0.027111053685294387
38,"30","Interdisciplinary Studies",2015,77745.31101698994,12243.026558550286,892,20777,3538.619309190251,0.02686227154722133
38,"30","Interdisciplinary Studies",2016,77753.24360432064,12313.885749350018,911,21108,3566.6949612599074,0.02670100641087268
38,"30","Interdisciplinary Studies",2017,78350.35546159267,12578.52064816163,929,21285,3581.620283226023,0.02613667201638561
38,"30","Interdisciplinary Studies",2018,81422.58760782858,13309.373257143205,963,21562,3604.8505829030564,0.025568266037084775
38,"30","Interdisciplinary Studies",2019,85641.91613107632,14116.957199261033,994,22094,3649.0482123521283,0.025338434508163254
38,"30","Interdisciplinary Studies",2020,93923.05641220088,14813.728622232471,1008,23736,3782.1954440146233,0.02601464913213263
38,"30","Interdisciplinary Studies",2021,97992.728081975,14641.171890230975,1056,25276,3902.945901127622,0.026506678579780635
38,"30","Interdisciplinary Studies",2022,109657.18316448844,16420.914819398644,1094,25862,3947.925454939764,0.02638244652255035
38,"30","Interdisciplinary Studies",2023,113291.99839258345,16495.138985718662,1144,26751,4015.1974040796526,0.02659504664646513
39,"30","Interdisciplinary Studies",2014,83859.69293208173,15700.777504088099,847,18110,3303.7359760900563,0.02412328316418618
39,"30","Interdisciplinary Studies",2015,83974.00188972877,16076.170470800897,826,17992,3292.9601790896345,0.023261586835327825
39,"30","Interdisciplinary Studies",2016,82045.57481448665,14904.405858162478,833,18058,3298.9970113374357,0.02284284507142026
39,"30","Interdisciplinary Studies",2017,85415.8609236609,15364.403973526685,862,18968,3381.0918790570486,0.023291538398252397
39,"30","Interdisciplinary Studies",2018,87486.09490342322,14720.761461988224,928,20916,3550.446911988847,0.024802237845824377
